,Seizure.Date,Cannabis,Cocaine,Heroin,,,
471,4/16/2013,1180.157611,534.69944,43.5454003,,,
472,4/17/2013,28115.81259,2743.34366,6.637,,,
473,4/18/2013,18378.69592,3306.8895,13.910112,,,
474,4/19/2013,4660.97129,1109.951668,2.1507438,,,
475,4/20/2013,2053.923,1634.5337,1.85308,,,
476,4/21/2013,2642.987,16.2646,1.97193,,,
477,4/22/2013,313.835463,249.9009,9.8461113,,,
478,4/23/2013,3184.802096,390.59072,13.480088,,,
479,4/24/2013,2363.19729,3228.3411,27.8946027,,,
480,4/25/2013,790.61885,536.8255,32.673559,,,
481,4/26/2013,2735.661118,14.7147,293.129186,,,
482,4/27/2013,1111.720166,202.912114,11.848555,,,
483,4/28/2013,184.742,10.1401,9.18876,,,
484,4/29/2013,8595.729,881.6839,8.942038,,,
485,4/30/2013,361.10477,368.6346,51.8356,128642,21450,787
486,5/1/2013,1184.251971,147.2079,74.47044,,,
487,5/2/2013,4384.383,23.67893,70.167037,,,
488,5/3/2013,1148.6091,15.0355,3.293365,,,
489,5/4/2013,928.15187,14.89532,1.8194,,,
490,5/5/2013,194.678,233.4525,3.10288,,,
491,5/6/2013,3814.33857,54.6412,9.725,,,
492,5/7/2013,995.0291,74.58724,12.644,,,
493,5/8/2013,637.3294,3421.1061,28.3662603,,,
494,5/9/2013,185.825313,2017.28958,2.198767,,,
495,5/10/2013,39393.28974,16.5229,6.926686078,,,
496,5/11/2013,347.457894,93.620794,73.006,,,
497,5/12/2013,247.124523,814.04993,1.708,,,
498,5/13/2013,109.581,16.9713,5.94487,,,
499,5/14/2013,563.04986,70.447933,6.493787,,,
500,5/15/2013,4120.411632,102.0143,83.77,,,
501,5/16/2013,1500.947046,402.3922,4.92917,,,
502,5/17/2013,708.276816,2668.934634,13.2069,,,
503,5/18/2013,1416.7463,661.630445,4.2744,,,
504,5/19/2013,130.401,144.55314,12.708,,,
505,5/20/2013,3007.428769,58.7216,4.075488,,,
506,5/21/2013,1091.132178,313.514,11.59013,,,
507,5/22/2013,20946.60183,31.2095,17.4650409,,,
508,5/23/2013,83989.9401,36.81574,17.095503,,,
509,5/24/2013,26162.5909,391.35175,8.707,,,
510,5/25/2013,8386.7934,14.3643,9.3316,,,
511,5/26/2013,6722.660847,4148.30386,2.2952,,,
512,5/27/2013,632.3256871,44.580856,28.991,,,
513,5/28/2013,735.29687,502.0303,26.9545,,,
514,5/29/2013,2759.397625,1530.4688,4.63,,,
515,5/30/2013,631.744749,1139.34075,51.2236139,,,
516,5/31/2013,2439.1008,82.0112,7.4789001,219515,19286,609
517,6/1/2013,15538.3977,1074.2188,2.524,,,
518,6/2/2013,934.1125,1071.8757,2.0873151,,,
519,6/3/2013,7042.861775,73.959,131.5750701,,,
520,6/4/2013,1551.114133,390.5898552,6.320574,,,
521,6/5/2013,2070.5946,634.307972,40.764838,,,
522,6/6/2013,2344.857628,272.4791,3.1540344,,,
523,6/7/2013,3895.024805,419.27796,287.546668,,,
524,6/8/2013,175.007802,289.103815,6.264365,,,
